LGA Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITTLESEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN GRAMPIANS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,# of EGMs,#of venues,,,
GREATER GEELONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 781 , 12 ,,,
COLAC-OTWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 168 , 4 ,,,
MOORABOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 1,300 ", 27 ,,,
CENTRAL GOLDFIELDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 167 , 7 ,,,
MITCHELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 160 , 5 ,,,
ALPINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 129 , 3 ,,,
BENALLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 293 , 7 ,,,
CAMPASPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 68 , 3 ,,,
GLENELG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 240 , 6 ,,,
Wellington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 254 , 5 ,,,
Wodonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 195 , 6 ,,,
Warrnambool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 318 , 7 ,,,
Greater Bendigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 135 , 3 ,,,
Ballarat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 234 , 8 ,,,
Swan Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 602 , 11 ,,,
Greater Shepparton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 657 , 15 ,,,
Mildura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 160 , 4 ,,,
East Gippsland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 329 , 8 ,,,
Bass Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 281 , 8 ,,,
